epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
58,1852.46,0.93205,0.54768,1.06644,0.98558,0.92081,0.985,0.69568,0.99253,0.47449,1.12352,0.000904904,0.000904904,0.000904904
59,1881.83,0.89982,0.54003,1.06678,0.98057,0.97305,0.99336,0.678,1.03569,0.45448,1.1528,0.00089812,0.00089812,0.00089812
60,1911.43,0.90543,0.53464,1.06898,0.99091,0.94321,0.99193,0.68956,1.02265,0.46327,1.11727,0.000891253,0.000891253,0.000891253
61,1940.88,0.9121,0.52974,1.06937,0.97037,0.89286,0.91867,0.61721,1.04243,0.56346,1.16601,0.000884305,0.000884305,0.000884305
62,1970.14,0.92286,0.53021,1.07057,0.97933,0.8816,0.97048,0.6764,1.01557,0.54312,1.12554,0.000877276,0.000877276,0.000877276
63,1999.49,0.88366,0.50568,1.05027,0.98876,0.89286,0.98049,0.69168,0.9468,0.48033,1.10169,0.00087017,0.00087017,0.00087017
64,2028.88,0.84718,0.49432,1.03737,0.99075,0.90145,0.91697,0.65031,1.01324,0.53959,1.13516,0.000862987,0.000862987,0.000862987
65,2058.26,0.89349,0.52782,1.06023,0.98079,0.88869,0.90984,0.64693,0.97953,0.55914,1.12761,0.00085573,0.00085573,0.00085573
66,2087.75,0.8927,0.51736,1.05984,0.97565,0.94293,0.99283,0.68699,1.02638,0.45996,1.14483,0.0008484,0.0008484,0.0008484
67,2117.28,0.86953,0.51463,1.03685,0.98998,0.88854,0.91947,0.62159,1.04665,0.54921,1.1553,0.000841,0.000841,0.000841
68,2146.62,0.88748,0.52813,1.06526,0.97797,0.96318,0.98354,0.69663,1.00503,0.45382,1.13376,0.00083353,0.00083353,0.00083353
69,2175.98,0.89083,0.52676,1.07701,0.96586,0.89286,0.94503,0.6436,0.9976,0.51883,1.16537,0.000825993,0.000825993,0.000825993
70,2204.97,0.86099,0.50725,1.0548,0.97715,0.89286,0.90247,0.63443,1.03224,0.52331,1.16448,0.000818391,0.000818391,0.000818391
71,2233.84,0.86656,0.5129,1.04459,0.98947,0.88563,0.91837,0.62711,0.98799,0.51847,1.156,0.000810725,0.000810725,0.000810725
72,2262.72,0.85704,0.50652,1.0556,0.9809,0.88869,0.88889,0.62053,0.99975,0.54919,1.15353,0.000802997,0.000802997,0.000802997
